"","a",""
"50","1","rt ashoswai was taking a look at modi s book  exam warriors   how could modi write this holding two fake degrees tcouvllzftn"
"51","1","rt jitupatwari                                                                                                                         "
"52","1","rt ashokgehlot was the pm preparing young students for braving a pathetic situation like a paper leak through his exam warriors his lo "
"53","1","rt jitupatwari                                                                                                                         "
"54","1","veenavenugopal exam warriors a boast to boast bestseller"
"55","1","rt jitupatwari                                                                                                                         "
"56","1","rt jitupatwari                                                                                                                         "
"57","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"58","1","rt jitupatwari                                                                                                                         "
"59","1","is this the launch campaign for exam warriors tcootzlcwdhlg"
"60","1","rt ashoswai was taking a look at modi s book  exam warriors   how could modi write this holding two fake degrees tcouvllzftn"
"61","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"62","1","rt jitupatwari                                                                                                                         "
"63","1","rt jitupatwari                                                                                                                         "
"64","1","rt jitupatwari                                                                                                                         "
"65","1","rt jitupatwari                                                                                                                         "
"66","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"67","1","rt mahilacongress examwarrior team is the fakenews warrior too  website with exam warriors link is busting fake news for  bjpindia "
"68","1","rt jitupatwari                                                                                                                         "
"69","1","rt jitupatwari                                                                                                                         "
"70","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"71","1","rt jitupatwari                                                                                                                         "
"72","1","rt jitupatwari                                                                                                                         "
"73","1","rt jitupatwari                                                                                                                         "
"74","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"75","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"76","1","rt jitupatwari                                                                                                                         "
"77","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"78","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"79","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"80","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"81","1","rt jitupatwari                                                                                                                         "
"82","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"83","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"84","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"85","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"86","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"87","1","votepainbaya cmoodisha naveenodisha bjdodisha kvsinghdeo knothing odishasuntimes smeodisha kanaknews  tcomrbtme"
"88","1","rt ashoswai was taking a look at modi s book  exam warriors   how could modi write this holding two fake degrees tcouvllzftn"
"89","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"90","1","rt jitupatwari                                                                                                                         "
"91","1","rt jitupatwari                                                                                                                         "
"92","1","incindia rahulgandhi defntly not searching exam warriors "
"93","1","retweeted my fellow indians myfellowindians  mitron you get this certificate with the book exam warriors by sh  tcotwqyngyg"
"94","1","retweeted my fellow indians myfellowindians  mitron you get this certificate with the book exam warriors by sh  tcoxhiacnz"
"95","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"96","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"97","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"98","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"99","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
"100","1","rt myfellowindians mitron you get this certificate with the book exam warriors by shri narendramodi  the certificate has been modified "
