"","user name","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","tweets date","tweet "
"sadquotes.13","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-03-02 21:43:24,"i didn t lose a friendi just realized i never had one"
"sadquotes.14","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-03-02 03:30:12,"maybe one day someone will come into my life and actually mean what they say"
"sadquotes.15","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-03-01 18:52:21,"what if im never good enough for anyone"
"sadquotes.16","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-03-01 08:10:41,"i feel like everyone hates me but that s okay because i hate me too"
"sadquotes.17","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-03-01 04:58:16,"i need tcorqbcjujg"
"sadquotes.18","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-03-01 02:00:34,"and you gave up tcopmrlzfek"
"sadquotes.19","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-28 05:59:01,"but you loved her  yes  and she loved you  yes   then why did it end  because love and compatibility are not always the same thing"
"sadquotes.20","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-27 04:13:45,"w h y         d o i         a l w a y s   t h i n k         o f   y o u      "
"sadquotes.21","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-27 03:10:08,"depression is when you dont really care about anything anxiety is when you care too much"
"sadquotes.22","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-27 01:03:46,"i miss being with you i miss our talks i miss laughing with you in short i miss you"
"sadquotes.23","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-26 03:44:16,"tcotfdkvwer"
"sadquotes.24","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-25 06:53:35,"the saddest thing is once you fall in love there s no going backif he ever needed anything i d drop everything fo  tcowucmtjf"
"sadquotes.25","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-24 05:24:00,"last year i was miserable and depressed but this year i decided to turn that shit around so now i m depressed and miserable"
"sadquotes.26","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-24 04:18:01,"sorry i cant im busy watching everything get worse"
"sadquotes.27","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-23 04:53:45,"gonna stop worrying about shit beyond my control jk"
"sadquotes.28","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-22 02:49:32,"depression isnt always sadness it can also be emptiness anger tiredness or loneliness sometimes a cry for help isnt so visible"
"sadquotes.29","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-21 06:44:04,"cant explain how im feeling but i dont like it"
"sadquotes.30","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-21 04:08:50,"roses are red violets are blue i dont leave the house i dont leave the house"
"sadquotes.31","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-21 02:10:09,"its weird how you can actually feel it in your chest and stomach when something really hurts your feelings"
"sadquotes.32","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-20 22:24:38,"that moment when you can actually feel the pain in your chest from seeing or hearing something that breaks your heart"
"sadquotes.33","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-20 06:17:30,"it s kinda sad when you realize the person you used to tell everything to now has no idea of what s happening with your life"
"sadquotes.34","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-19 17:17:12,"tcoesiapdueo"
"sadquotes.35","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-19 03:19:48,"my heart is stupid"
"sadquotes.36","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-18 22:12:43,"people think depression is sadness and crying people think depression is dressing in black but people are wrong  tcokqhodcamzy"
"sadquotes.37","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-18 17:42:03,"tcogeruouggp"
"sadquotes.38","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-18 06:19:45,"some nights i lay in bed and imagine what i d be doing if you were here with me"
"sadquotes.39","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-17 18:34:58,"while i was holding on all you did was let go"
"sadquotes.40","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-17 02:38:51,"you hurt me more than i deserve how can you be so cruel i love you more than you deserve why am i such a fool"
"sadquotes.41","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-15 05:00:08,"i think there is something broken in our generation  there are so many sad eyes on happy faces"
"sadquotes.42","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-13 05:19:57,"im selling this account dm"
"sadquotes.43","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-02-10 06:24:01,"depression isnt always at am sometimes it hits you at pm when youre with your friends and youre halfway through a laugh"
"sadquotes.44","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-01-25 08:51:26,"people be so quick to forget all the shit you did for em"
"sadquotes.45","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2018-01-06 19:20:22,"i wish i had a delete button in my life to delete some people some memories  amp some feelings"
"sadquotes.46","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-31 20:04:25,"alright im not enough"
"sadquotes.47","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-27 03:10:18,"i feel so fucked up so depressed so useless i just wanna go to sleep and not wake up ever again"
"sadquotes.48","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-22 16:14:57,"honestly nothing surprises me anymore ive been through so much disappointment thats all i expect nowadays"
"sadquotes.49","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-19 00:58:50,"i miss how close we used to be"
"sadquotes.50","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-15 05:55:27,"i destroyed myself trying to fix others"
"sadquotes.51","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-12 04:29:54,"i can see you re sadeven when you smileeven when you laugh"
"sadquotes.52","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-10 20:19:09,"the hardest part is waking up in the morning remembering what you were trying to forget last night"
"sadquotes.53","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-08 02:27:36,"maybe i dont cry but i hurt maybe i wont say but i feel maybe i dont show but i care"
"sadquotes.54","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-06 03:13:05,"i wish i could go back to the day i met you and just walk away because honestly it would ve saved me so much hurt and pain"
"sadquotes.55","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-04 04:24:28,"behind my smile theres a pain inside"
"sadquotes.56","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-12-01 22:35:46,"i m not afraid to try again i m just afraid of getting hurt for the same reason"
"sadquotes.57","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-30 06:02:59,"having anxiety is the most silently painful experience it makes no sense and you sit there alone and suffer for an unknown reason"
"sadquotes.58","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-28 03:47:17,"it feels like my happiness has an expiration date"
"sadquotes.59","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-27 21:15:26," i m fine  really means  i m dying inside but you wouldn t care if i told you "
"sadquotes.60","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-26 17:09:15,"pretending to be happy but deep inside it hurts a lot"
"sadquotes.61","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-24 20:31:59,"if you dont have good intentions please just leave me alone im tired"
"sadquotes.62","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-23 02:55:18,"it hurts when someone says they don t want you but it hurts more when they don t even tell you"
"sadquotes.63","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-22 05:49:59,"it sucks doesnt it feeling like youre not good enough no matter how hard you try"
"sadquotes.64","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-22 03:07:24,"i hate that feeling when you see something and your heart literally sinks but you have to sit there and pretend you don t care at all"
"sadquotes.65","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-21 20:50:48,"do you ever write a really long message and about halfway through youre like you know what they dont even care and end up deleting it"
"sadquotes.66","we are trying to kill time, while time is killing us | dm for promos l TheTwitterEmpire@outlook.com l",459,125687,207,0,NA,"Sad Quotes",2009-12-10 06:07:23,FALSE,FALSE,"SadQuotes","turn on tweet notifications","en","95838017",271,FALSE,"http://pbs.twimg.com/profile_images/934002937239613440/Q868nBzy_normal.jpg",2017-11-21 05:17:10,"sometimes your heart needs more time to accept what your mind already knows"
